depth	min.95	max.95	median	mean
111	5005	5645	5252	5270
111.5	5014	5658	5265	5283
112	5022	5671	5277	5296
112.5	5030	5687	5289	5309
113	5037	5709	5300	5322
113.5	5043	5724	5314	5336
114	5051	5743	5327	5349
114.5	5055	5767	5339	5362
115	5063	5787	5354	5375
115.5	5081	5795	5368	5389
116	5097	5806	5382	5402
116.5	5110	5816	5397	5416
117	5123	5827	5409	5430
117.5	5130	5839	5424	5444
118	5139	5854	5437	5457
118.5	5145	5871	5453	5471
119	5155	5891	5467	5485
119.5	5163	5908	5483	5499
120	5170	5925	5498	5513
120.5	5184	5945	5511	5526
121	5200	5962	5524	5539
121.5	5211	5974	5536	5553
122	5225	5985	5549	5566
122.5	5234	6000	5563	5580
123	5246	6020	5577	5593
123.5	5254	6033	5591	5607
124	5264	6046	5605	5620
124.5	5274	6060	5617	5634
125	5280	6083	5629	5647
125.5	5296	6091	5645	5661
126	5314	6102	5660	5675
126.5	5327	6112	5675	5689
127	5339	6124	5691	5703
127.5	5346	6135	5705	5717
128	5354	6142	5721	5731
128.5	5360	6157	5735	5745
129	5367	6175	5749	5759
129.5	5375	6195	5767	5773
130	5380	6217	5781	5787
130.5	5396	6224	5794	5801
131	5410	6238	5807	5814
131.5	5422	6247	5822	5828
132	5431	6258	5837	5841
132.5	5443	6267	5851	5855
133	5454	6283	5868	5868
133.5	5470	6296	5882	5882
134	5480	6313	5895	5895
134.5	5491	6327	5909	5909
135	5499	6342	5924	5922
135.5	5511	6352	5938	5935
136	5526	6361	5951	5948
136.5	5543	6370	5964	5961
137	5558	6381	5977	5974
137.5	5569	6396	5991	5987
138	5576	6405	6004	6000
138.5	5587	6414	6019	6013
139	5599	6426	6030	6026
139.5	5610	6440	6044	6039
140	5618	6454	6057	6052
140.5	5632	6463	6069	6065
141	5650	6474	6083	6078
141.5	5663	6487	6097	6092
142	5676	6499	6112	6105
142.5	5690	6510	6128	6119
143	5702	6519	6142	6132
143.5	5715	6533	6156	6146
144	5723	6551	6171	6159
144.5	5733	6565	6185	6173
145	5743	6583	6199	6186
145.5	5754	6592	6211	6199
146	5767	6600	6224	6213
146.5	5783	6607	6237	6226
147	5798	6616	6252	6240
147.5	5813	6627	6266	6253
148	5821	6638	6278	6266
148.5	5831	6649	6291	6280
149	5840	6659	6305	6293
149.5	5851	6672	6319	6307
150	5861	6689	6333	6320
150.5	5887	6694	6347	6334
151	5908	6701	6362	6347
151.5	5929	6710	6376	6361
152	5942	6721	6389	6375
152.5	5961	6732	6402	6389
153	5973	6745	6417	6402
153.5	5987	6757	6432	6416
154	6005	6773	6444	6430
154.5	6016	6785	6457	6443
155	6032	6803	6470	6457
155.5	6050	6814	6483	6470
156	6069	6817	6498	6483
156.5	6087	6824	6510	6496
157	6103	6829	6524	6509
157.5	6122	6837	6536	6522
158	6139	6848	6550	6534
158.5	6152	6860	6563	6547
159	6161	6872	6575	6560
159.5	6169	6885	6588	6573
160	6182	6900	6600	6586
160.5	6195	6908	6612	6600
161	6220	6916	6626	6613
161.5	6242	6923	6642	6627
162	6263	6930	6657	6640
162.5	6281	6940	6671	6654
163	6295	6949	6684	6668
163.5	6308	6958	6698	6681
164	6326	6968	6710	6695
164.5	6337	6984	6725	6708
165	6352	6999	6738	6722
165.5	6376	7006	6751	6735
166	6400	7009	6764	6748
166.5	6429	7014	6778	6761
167	6448	7020	6790	6775
167.5	6465	7025	6802	6788
168	6485	7031	6817	6801
168.5	6496	7038	6830	6814
169	6506	7046	6845	6827
169.5	6514	7054	6858	6840
170	6532	7065	6871	6854
170.5	6563	7069	6882	6867
171	6597	7072	6894	6880
171.5	6624	7077	6906	6893
172	6657	7081	6917	6907
172.5	6681	7086	6929	6920
173	6711	7091	6943	6933
173.5	6733	7097	6956	6946
174	6754	7104	6968	6960
174.5	6771	7114	6981	6973
175	6785	7125	6995	6986
175.5	6826	7128	7010	7002
176	6863	7132	7026	7018
176.5	6897	7137	7041	7034
177	6927	7142	7058	7050
177.5	6948	7152	7074	7066
178	6961	7175	7092	7082
178.5	6971	7207	7108	7098
179	6980	7247	7122	7114
179.5	6988	7291	7134	7130
180	6993	7333	7147	7146
180.5	7016	7365	7172	7173
181	7032	7409	7197	7200
181.5	7043	7460	7219	7227
182	7052	7538	7241	7254
182.5	7061	7607	7263	7281
183	7070	7683	7284	7307
183.5	7076	7762	7304	7334
184	7084	7842	7326	7361
184.5	7090	7921	7346	7388
185	7096	8008	7367	7415
185.5	7118	8030	7391	7439
186	7140	8056	7418	7464
186.5	7152	8091	7444	7488
187	7167	8121	7470	7513
187.5	7180	8157	7495	7537
188	7191	8189	7520	7562
188.5	7199	8218	7545	7586
189	7207	8262	7569	7611
189.5	7217	8304	7591	7635
190	7225	8359	7616	7660
190.5	7249	8382	7641	7686
191	7264	8413	7667	7713
191.5	7282	8439	7696	7739
192	7294	8483	7724	7766
192.5	7305	8521	7749	7792
193	7313	8567	7774	7819
193.5	7322	8619	7802	7845
194	7333	8663	7825	7872
194.5	7341	8721	7848	7898
195	7349	8785	7873	7925
195.5	7377	8808	7898	7949
196	7403	8835	7923	7973
196.5	7422	8861	7947	7998
197	7434	8894	7971	8022
197.5	7457	8922	7994	8046
198	7468	8956	8022	8070
198.5	7485	8984	8046	8095
199	7497	9023	8071	8119
199.5	7505	9072	8095	8143
200	7514	9132	8114	8168
200.5	7537	9160	8140	8192
201	7558	9181	8166	8217
201.5	7575	9202	8193	8242
202	7589	9219	8218	8266
202.5	7602	9241	8245	8291
203	7618	9271	8272	8316
203.5	7629	9311	8298	8340
204	7642	9349	8326	8365
204.5	7653	9390	8351	8390
205	7670	9438	8375	8415
205.5	7693	9460	8398	8440
206	7717	9479	8426	8465
206.5	7734	9522	8448	8490
207	7750	9549	8471	8515
