"Age","Lili","Pasdefond","Francis","Clo","FFmean"
0,3.83797077950167,5.40233814152861,4.05495773844811,4.05282442151682,4.3370227702488
10,3.87691229348856,5.41086124477254,4.05000363301527,4.05135692468021,4.34728352398915
20,3.91599507464887,5.41854485012626,4.04536929359549,4.04916911650341,4.35726958371851
30,3.9551862119357,5.42508159710496,4.04112953343855,4.04617134256441,4.36689217126091
40,3.99449674030823,5.43082032689909,4.03723680793095,4.04244652940361,4.37625010113547
50,4.0339654586403,5.43576470104067,4.03372906460737,4.03797241518237,4.38535790986768
60,4.07356565535801,5.4398991842737,4.03061426554711,4.03272736152249,4.39420161667533
70,4.1132845965509,5.44293846451337,4.02787000806289,4.02678427703739,4.40271933654114
80,4.15314150991053,5.44517178434879,4.02556517913701,4.02005596897641,4.41098361059318
90,4.19317246318803,5.44664034360333,4.02363309414163,4.01263751836579,4.4190208548247
100,4.2333252227186,5.4473355788079,4.02214497986725,4.00450106891018,4.42682671257598
110,4.27360753732656,5.44702673589295,4.02106170864048,3.99564158732367,4.43433439229592
120,4.31405226369918,5.44591326810338,4.0204009630019,3.98612514730249,4.44162291052674
130,4.35465038089892,5.44408055318081,4.02018789950766,3.975869608521,4.4486971105271
140,4.39537160483801,5.44152664561638,4.02037228113737,3.96497847762223,4.4555622523035
150,4.43622818344174,5.43807558369533,4.02104649290476,3.95341994358159,4.46219255090586
160,4.47726486373729,5.43384293740878,4.02212326286906,3.94120406738147,4.46860878284915
170,4.51842654992328,5.42895161202109,4.02366425598992,3.92838907611176,4.47485787351151
180,4.55971110396468,5.42340566561357,4.02564546218704,3.91490035246404,4.48091564605733
190,4.60114011723717,5.4170814843839,4.02806001088846,3.90084534118108,4.48678173842265
200,4.6427225039622,5.41002155927357,4.03095232347162,3.88619040810093,4.49247169870208
210,4.68441490038617,5.4023771691377,4.03425452903978,3.87095787653409,4.49800111877443
220,4.72622312609662,5.39415753941795,4.03805081802768,3.85519685750492,4.50340708526179
230,4.76817525712951,5.38528640368449,4.04226660044888,3.83884653348479,4.50864369868692
240,4.81023875977391,5.37574839310241,4.04694046988107,3.82200876214229,4.51373409622492
250,4.85239613621386,5.36571187505236,4.05206674905916,3.80465217323698,4.51870673339059
