Age;Influx_Francis
0;0,00816
25;0,14214
50;0,167829231
75;0,164866154
100;0,310097714
125;0,260198095
150;0,202942316
175;0,043842105
200;0,065195789
225;0,038678737
250;0,0346368
275;0,033701186
300;0,033200985
325;0,054107468
350;0,044137931
375;0,03901319
400;0,061851852
425;0,032237037
450;0,052576967
475;0,094610526
500;0,035820433
525;0,047223529
550;0,077552
575;0,143547733
600;0,154903795
625;0,180075179
650;0,123155879
675;0,132036364
700;0,340329018
725;0,168869689
750;0,106278667
775;0,0859
800;0,1544
825;0,270602222
850;0,072570311
875;0,17684
900;0,072068267
925;0,092233333
950;0,038912
975;0,044434286
1000;0,126911286
1025;0,084614882
1050;0,147416471
1075;0,199444444
1100;0,375828121
1125;0,171382303
1150;0,035952
1175;0,032413333
1200;0,023342667
1225;0,03116
1250;0,05904637
1275;0,053762963
1300;0,062239316
1325;0,051826022
1350;0,050971429
1375;0,113765079
1400;0,050302011
1425;0,047142857
1450;0,014444444
1475;0,016935746
1500;0,016378022
1525;0,010892308
1550;0,022032148
1575;0,27482048
1600;0,166905391
1625;0,023277478
1650;0,0500388
1675;0,08774
1700;0,249534667
1725;0,274037961
1750;0,0861
1775;0,0786492
1800;0,181126629
1825;0,068085714
1850;0,188741099
1875;0,223558974
1900;0,121666667
1925;0,078280727
1950;0,102702545
1975;0,139182545
2000;0,091878303
2025;0,065666667
2050;0,218163282
2075;0,029745231
2100;0,044896164
2125;0,071733333
2150;0,047656659
2175;0,153811765
2200;0,063707938
2225;0,078291242
2250;0,0436248
2275;0,023283014
2300;0,15644585
2325;0,049591394
2350;0,041861653
2375;0,03048
2400;0,056998745
2425;0,033198131
2450;0,056622222
2475;0,02598492
2500;0,019655172
2525;0,018796083
2550;0,017133333
2575;0,025540335
2600;0,01483871
2625;0,008645161
2650;0,115054702
2675;0,167054545
2700;0,08
2725;0,205175758
2750;0,097580392
2775;0,0218
2800;0,024705882
2825;0,044376471
2850;0,046887529
2875;0,045214222
2900;0,028
2925;0,026899263
2950;0,022508601
2975;0,010540541
3000;0,015264865
3025;0,030151351
3050;0,064594595
3075;0,046648649
3100;0,036833138
3125;0,025789474
3150;0,032271525
3175;0,043287061
3200;0,073947368
3225;0,048088379
3250;0,034676369
3275;0,005897436
3300;0,010062256
3325;0,01325
3350;0,02981
3375;0,03311
3400;0,03775
3425;0,010756839
3450;0,003960976
3475;0,015121951
3500;0,021209756
3525;0,027804878
3550;0,04371278
3575;0,055715721
3600;0,102093023
3625;0,068834578
3650;0,02547619
3675;0,010272319
3700;0,005604203
3725;0,006136364
3750;0,010980127
3775;0,02372093
3800;0,014368149
3825;0,007333333
3850;0,019142812
3875;0,022954545
3900;0,033333333
3925;0,029515556
3950;0,014565217
3975;0,014173913
4000;0,013478261
4025;0,0102
4050;0,007173913
4075;0,015732551
4100;0,019583333
4125;0,014912298
4150;0,013404255
4175;0,005071248
4200;0,003958333
4225;0,019959476
4250;0,020612245
4275;0,008571429
4300;0,008670609
4325;0,011
4350;0,010616
4375;0,0014
4400;0,001872
4425;0,0132
4450;0,012752
4475;0,002
4500;0,002198275
4525;0,006862745
4550;0,006862745
4575;0,010980392
4600;0,010980392
4625;0,004768627
4650;0,004509804
4675;0,003306805
4700;0,0032
4725;0,014886525
4750;0,015882353
4775;0,010360784
4800;0,009607843
4825;0,008094525
4850;0,0078
4875;0,00948
4900;0,0098
4925;0,005432
4950;0,0046
4975;0,00754308
5000;0,008125
5025;0,018283333
5050;0,019166667
5075;0,034791667
5100;0,03267158
5125;0,007173913
5150;0,007159722
5175;0,007111111
5200;0,005155556
5225;0,002666667
5250;0,045918476
5275;0,071904762
5300;0,03195003
5325;0,037736585
5350;0,053658537
5375;0,265723738
5400;0,318095943
5425;0,022432432
5450;0,033091892
5475;0,036195231
5500;0,027647059
5525;0,021470588
5550;0,015070588
5575;0,010478
5600;0,01875
5625;0,0079875
5650;0,0157375
5675;0,019058097
5700;0,008824654
5725;0,043666667
5750;0,015786976
5775;0,007699355
5800;0,009933333
5825;0,0144
5850;0,006666667
5875;0,006666667
5900;0,022933333
5925;0,0142
5950;0,036522581
5975;0,069987097
6000;0,010645161
6025;0,014336241
6050;0,015949576
6075;0,013131818
6100;0,010673545
6125;0,028787879
6150;0,005725714
6175;0,004971429
6200;0,012
6225;0,026857143
6250;0,020342857
6275;0,01568381
6300;0,014444444
6325;0,1333
6350;0,133322222
6375;0,053611111
6400;0,008349219
6425;0,007115276
6450;0,012796706
6475;0,020294118
6500;0,010506239
6525;0,012193939
6550;0,022877045
6575;0,0040625
6600;0,016165828
6625;0,016288276
6650;0,018591111
6675;0,0224
6700;0,015788855
6725;0,019462154
6750;0,00192
6775;0,006453333
6800;0,010733333
6825;0,005434909
6850;0,009111462
6875;0,001982609
6900;0,000573913
6925;0,00333913
6950;0,00150868
6975;0,002382545
7000;0,002517895
7025;0,000322807
7050;0
7075;0
7100;0
