"Age","Castor","Gagnon","Perche","Desperiers","Labelle","FFmean"
0,6.45927680881964,5.18301617935305,NA,NA,8.75354734214747,6.79861344344005
10,6.46071761899965,5.1813033726867,NA,NA,8.75496301884922,6.79899467017852
20,6.46202476376302,5.17974140429001,NA,NA,8.75621853475845,6.79932823427049
30,6.46319299945907,5.17833118752295,NA,NA,8.75733381261314,6.79961933319839
40,6.46420621624256,5.17707766607236,NA,NA,8.75831881157309,6.79986756462934
50,6.46506712331323,5.17599059146698,NA,NA,8.75917405216498,6.8000772556484
60,6.46577768051354,5.17505623245602,NA,NA,8.75991230453013,6.80024873916656
70,6.46633568254098,5.17427495217752,NA,NA,8.7605502819322,6.8003869722169
80,6.46673960839151,5.173647085358,NA,NA,8.76109313957155,6.80049327777369
90,6.46698862761946,5.17317392344709,NA,NA,8.76154951935532,6.80057069014063
100,6.46707710791998,5.17286209756478,NA,NA,8.76193949821099,6.80062623456525
110,6.46700183078736,5.17271597421911,NA,NA,8.7622720859019,6.80066329696946
120,6.46677070305771,5.17272438085495,NA,NA,8.76255583206866,6.80068363866044
130,6.46638893343381,5.17288751473637,NA,NA,8.76280986779221,6.80069543865413
140,6.46585937605914,5.17320554946762,NA,NA,8.76304610052698,6.80070367535125
150,6.46518557623513,5.17368018256494,NA,NA,8.763277581255,6.80071444668503
160,6.4643717643914,5.17431978716188,NA,NA,8.76351882177905,6.80073679111078
170,6.46341393594254,5.17512321345326,NA,NA,8.76378342281903,6.80077352407161
180,6.46232212799668,5.17608202416469,NA,NA,8.76408774496885,6.80083063237674
190,6.46110781664311,5.17719627736782,NA,NA,8.7644459957071,6.80091669657268
200,6.4597787301484,5.17846601102886,NA,NA,8.76486908180185,6.80103794099304
210,6.45834255119921,5.17989333968529,NA,NA,8.76537527561597,6.80120372216682
220,6.45680757225441,5.18148840041014,NA,NA,8.76598311456648,6.80142636241034
230,6.4551809604582,5.18324448367552,NA,NA,8.76669647406487,6.8017073060662
240,6.45346955687737,5.18515599269979,NA,NA,8.76753401545664,6.8020531883446
250,6.45168773718973,5.18722286549677,NA,NA,8.76852203059458,6.80247754442702
260,6.44984836042185,5.18944502219805,NA,NA,8.76965644555435,6.80298327605808
270,6.44796261592562,5.19182499034549,NA,NA,8.77095424897004,6.80358061841372
280,6.44604216978842,5.19437466251517,NA,NA,8.77244221020207,6.80428634750189
290,6.44409913938111,5.19708179528653,NA,NA,8.77412048870133,6.80510047445632
300,6.44214647556743,5.19994367716359,NA,NA,8.77599725352612,6.80602913541904
310,6.44019872592116,5.2029601351275,NA,NA,8.77809804690592,6.80708563598486
320,6.43826999172581,5.20613105778253,NA,NA,8.78043164786252,6.80827756579028
330,6.43637405612642,5.20945955731009,NA,NA,8.7829935322295,6.80960904855533
340,6.43452495266059,5.21295817866548,NA,NA,8.78580638547145,6.81109650559918
350,6.43273698253908,5.21661044381225,NA,NA,8.78889128726645,6.81274623787259
360,6.43102555507208,5.22041608201235,NA,NA,8.7922285364817,6.81455672452204
370,6.42941310535744,5.22437480260233,NA,NA,8.7958365780632,6.81654149534099
380,6.42791169514696,5.22848690696055,NA,NA,8.79974749904982,6.81871536705244
390,6.42653382645317,5.23275718769861,NA,NA,8.80393222421957,6.82107441279045
400,6.42529467129939,5.23719258821533,NA,NA,8.80840222014258,6.82362982655244
410,6.42420946046966,5.24177960189707,NA,NA,8.81318459561582,6.82639121932752
420,6.42329344953516,5.2465178182914,NA,NA,8.81826289036093,6.82935805272916
430,6.42257073916807,5.25140680093003,NA,NA,8.82363240134997,6.83253664714936
440,6.42206102336086,5.25644720289479,NA,NA,8.82931402008333,6.83594074877966
450,6.42177236087863,5.2616453996037,NA,NA,8.83530552867455,6.83957442971896
460,6.42171657843504,5.26700277227591,NA,NA,8.84158523971064,6.84343486347387
470,6.42190849330014,5.27250874242918,NA,NA,8.84816697140996,6.84752806904643
480,6.42236273362492,5.27816271090484,NA,NA,8.85506281837208,6.85186275430061
490,6.42309370578481,5.2839640424887,NA,NA,8.8622355479922,6.85643109875524
500,6.42413945754394,5.28991364337457,NA,NA,8.8696916644439,6.8612482551208
510,6.42550342256231,5.29601929319119,NA,NA,8.877450437346,6.8663243843665
520,6.42718896569256,5.30227692574238,NA,NA,8.88547025042566,6.8716453806202
530,6.42920864503408,5.30867878659545,NA,NA,8.89374815357813,6.87721186173589
540,6.43157517031904,5.31522401547854,NA,NA,8.90229459422253,6.88303126000671
550,6.434300836902,5.32191170285655,NA,NA,8.91108271943162,6.88909841973006
560,6.43740905811757,5.32874286905897,NA,NA,8.92009456223685,6.89541549647113
570,6.44092565021408,5.33572641484942,NA,NA,8.92933189793275,6.90199465433208
580,6.4448460131339,5.3428530779283,NA,NA,8.93877961517903,6.90882623541374
590,6.4491720321898,5.35011774930086,NA,NA,8.94840825750666,6.91589934633244
600,6.45391338013027,5.35751921969669,NA,NA,8.95821162014141,6.92321473998946
610,6.45907916003285,5.36505621612163,NA,NA,8.96818158244583,6.93077231953343
620,6.46467788518548,5.37272969682615,NA,NA,8.97828252372931,6.93856336858031
630,6.47074630845409,5.38054927552477,NA,NA,8.98850159378604,6.94659905925497
640,6.47728395471228,5.38850097110899,NA,NA,8.99882869835273,6.954871208058
650,6.48428092534702,5.39658204584116,NA,NA,9.00923144328417,6.96336480482412
660,6.49173967433031,5.40479085293545,NA,NA,9.01969076812011,6.97207376512862
