Cal_BP;Influx
-64;0,002278571
-36;0,0027125
-8;0,009069805
20;0,003521408
48;0,01045744
76;0,017902637
104;0,00606872
132;0,007613954
160;0,011702609
188;0,005479383
216;0,012489966
244;0,007724644
272;0,008070438
300;0,004056098
328;0,009508282
356;0,007356943
384;0,005368452
412;0,005644216
440;0,00386927
468;0,000418644
496;0,004029487
524;0,013003158
552;0,006875329
580;0,005415434
608;0,017650474
636;0,016438047
664;0,02230884
692;0,021918329
720;0,008974725
748;0,004681687
776;0,009759966
804;0,010696849
832;0,014601054
860;0,007923932
888;0,017085733
916;0,01481464
944;0,02847612
972;0,021647894
1000;0,032132711
1028;0,010877336
1056;0,010621312
1084;0,007089796
1112;0,030488535
1140;0,030174361
1168;0,023426882
1196;0,011876603
1224;0,014644469
1252;0,006476013
1280;0,024879625
1308;0,012374632
1336;0,019521752
1364;0,037526079
1392;0,014059066
1420;0,009961538
1448;0,023961905
1476;0,006489844
1504;0,011957261
1532;0,034600524
1560;0,013578856
1588;0,010399793
1616;0,012077168
1644;0,016390561
1672;0,017018345
1700;0,008304804
1728;0,011161235
1756;0,012364668
1784;0,020624665
1812;0,028660092
1840;0,020275686
1868;0,031632372
1896;0,056121031
1924;0,033173813
1952;0,019090675
1980;0,019731173
2008;0,009338393
2036;0,01903721
2064;0,013568788
2092;0,049929976
2120;0,014029838
2148;0,022125765
2176;0,024173249
2204;0,018343897
2232;0,018312581
2260;0,026554813
2288;0,027622282
2316;0,015733973
2344;0,025796571
2372;0,046581186
2400;0,025353311
2428;0,018048761
2456;0,018710641
2484;0,025432265
2512;0,0265989
2540;0,02615207
2568;0,027807272
2596;0,014321521
2624;0,02008912
2652;0,025209847
2680;0,019916662
2708;0,012697005
2736;0,037689732
2764;0,030917836
2792;0,011324847
2820;0,018518435
2848;0,065440685
2876;0,078550313
2904;0,072243061
2932;0,090940408
2960;0,041377389
2988;0,032781888
3016;0,034912564
3044;0,058678297
3072;0,081649063
3100;0,159651792
3128;0,092487347
3156;0,102594069
3184;0,095441369
3212;0,173017398
3240;0,104361148
3268;0,122138929
3296;0,089811224
3324;0,060939949
3352;0,100290717
3380;0,049741534
3408;0,055481122
3436;0,017668291
3464;0,003693534
3492;0,005323571
3520;0,006219026
3548;0,009138668
3576;0,018056198
3604;0,028323476
3632;0,035904053
3660;0,011434008
3688;0,01398725
3716;0,006872661
3744;0,005831769
3772;0,024689483
3800;0,020274716
3828;0,013688095
3856;0,020992763
3884;0,012833459
3912;0,0098986
3940;0,013352166
3968;0,022628517
3996;0,016259624
4024;0,021228786
4052;0,020743206
4080;0,028105183
4108;0,01700446
4136;0,04125642
4164;0,049555116
4192;0,027850311
4220;0,007989871
4248;0,01188847
4276;0,011836186
4304;0,01765974
4332;0,015194671
4360;0,018826043
4388;0,015665606
4416;0,024471861
4444;0,033632305
4472;0,024990617
4500;0,008745594
4528;0,005512415
4556;0,009165816
4584;0,006783313
4612;0,065686088
4640;0,034699798
4668;0,017072321
4696;0,024021088
4724;0,004740026
4752;0,004287013
4780;0,005000142
4808;0,011450695
4836;0,014894684
4864;0,044914943
4892;0,033324107
4920;0,025760989
4948;0,019007179
4976;0,023345823
5004;0,019188095
5032;0,00659003
5060;0,002448486
5088;0,003620585
5116;0,009497042
5144;0,019510489
5172;0,009154236
5200;0,016524816
5228;0,008818872
5256;0,012180134
5284;0,028114187
5312;0,036236291
5340;0,041399206
5368;0,033236593
5396;0,041504793
5424;0,017699248
5452;0,005526128
5480;0,011116172
5508;0,010631916
5536;0,016319325
5564;0,005876386
5592;0,035540454
5620;0,065511166
5648;0,03090192
5676;0,014994994
5704;0,048627264
5732;0,072322466
5760;0,019194458
5788;0,035890233
5816;0,022630987
5844;0,014585557
5872;0,022902547
5900;0,009637486
5928;0,01021427
5956;0,013290842
5984;0,021737167
6012;0,00410123
6040;0,02782182
6068;0,038852381
6096;0,033747692
6124;0,009423784
6152;0,00544
6180;0,014133994
6208;0,037031696
6236;0,03707
6264;0,01037377
6292;0,019760493
6320;0,021478249
6348;0,0099362
6376;0,03580924
6404;0,00585496
6432;0,010245855
6460;0,014651786
6488;0,014726178
6516;0,053242041
6544;0,045015569
6572;0,020428436
6600;0,038656917
6628;0,057735689
6656;0,027805283
6684;0,01781389
6712;0,015017647
6740;0,010336397
6768;0,009968021
6796;0,023379167
6824;0,097362307
6852;0,053266387
6880;0,025576996
6908;0,023928223
6936;0,064631548
6964;0,068585815
6992;0,045441232
7020;0,00739612
7048;0,008580639
7076;0,006662595
7104;0,009030809
7132;0,011054972
7160;0,004507792
7188;0,011237498
7216;0,007808696
7244;0,016090379
7272;0,023504509
7300;0,011687482
7328;0,019270256
7356;0,034012315
7384;0,052111453
7412;0,034881034
7440;0,020264183
7468;0,012068112
7496;0,008018656
7524;0,035296296
7552;0,025692258
7580;0,008717241
7608;0,067627586
7636;0,029497875
7664;0,020800248
7692;0,016073201
7720;0,015322944
7748;0,027735225
7776;0,036407482
7804;0,025694524
7832;0,015150238
7860;0,02222859
7888;0,035104455
7916;0,033272981
7944;0,021334643
7972;0,027595297
8000;0,015472727
8028;0,008864394
8056;0,006713415
8084;0,00499697
8112;0,006076446
8140;0,01616872
8168;0,038599849
8196;0,01676503
8224;0,020704911
8252;0,016154121
8280;0,003431445
8308;0,004815805
8336;0,002619419
8364;0,004704891
8392;0,008427123
8420;0,013056923
8448;0,001029949
8476;0
