lablD,age,error,depth,cc
Actual,-74.1,1,0,0
Pb_01,-71.8,1,0.5,0
Pb_02,-67.1,1.1,1.5,0
Pb_03,-63,2.6,2.5,0
Pb_04,-58.6,2.1,3.5,0
Pb_05,-53.9,2.6,4.5,0
Pb_06,-48.7,3.2,5.5,0
Pb_07,-41.4,4.1,6.5,0
Pb_08,-33.1,5.5,7.5,0
Pb_09,-24.4,7.3,8.5,0
Pb_10,-14.5,10.1,9.5,0
Pb_11,-3.2,14.4,10.5,0
Pb_12,20.4,23.4,12.5,0
Pb_13,43.2,33,14.5,0
Pb_14,64.5,42.5,16.5,0
UCIAMS-309739,1610,15,39.25,1
UCIAMS-316107,4310,15,96.5,1
UCIAMS-316106,6150,20,177.5,1
