"Age","Castor","Gagnon","Perche","Desperiers","Labelle","BBmean"
-70,-2.03852235860971,-1.61999993677912,NA,NA,NA,-1.82926114769441
-60,-1.92916120971528,-1.47500077781376,NA,NA,1.84803424327978,-0.518709248083088
-50,-1.82189155724426,-1.33269696691814,NA,NA,1.67892227843355,-0.491888748576282
-40,-1.7168373690242,-1.19341526220636,NA,NA,1.5100786713233,-0.466724653302417
-30,-1.61412261288267,-1.05748242179251,NA,NA,1.3425626824596,-0.443014117405195
-20,-1.51387125664726,-0.92522520379071,NA,NA,1.17743357235302,-0.420554296028316
-10,-1.41620726814552,-0.796970366315046,NA,NA,1.01575060151412,-0.399142344315482
0,-1.32125461520502,-0.673044667479623,NA,NA,0.858573030453462,-0.378575417410392
10,-1.22913726565333,-0.553774865398539,NA,NA,0.706960119681621,-0.358650670456749
20,-1.13997918731802,-0.439487718185894,NA,NA,0.561971129709161,-0.339165258598252
30,-1.05390434802666,-0.330509983955791,NA,NA,0.424665321046648,-0.319916336978602
40,-0.971036715606825,-0.227168420822327,NA,NA,0.296101954204648,-0.300701060741501
50,-0.891500257886072,-0.129789786899604,NA,NA,0.177340289693729,-0.281316585030649
60,-0.815418942691975,-0.0387008403017218,NA,NA,0.069439588024457,-0.261560064989747
70,-0.742916737852103,0.0457716608572201,NA,NA,-0.026540890292603,-0.241228655762495
80,-0.674117611194024,0.123300958463121,NA,NA,-0.109541884746883,-0.220119512492595
90,-0.608149017965486,0.193786396882138,NA,NA,-0.178504134827817,-0.197622251970388
100,-0.542964945403959,0.26129585167517,NA,NA,-0.232368380024838,-0.171345824584543
110,-0.478863221493041,0.327025803434661,NA,NA,-0.273251369503321,-0.141696262520567
120,-0.416237527662402,0.390424250233926,NA,NA,-0.308770675549136,-0.111527984325871
130,-0.355481545341715,0.45093919014628,NA,NA,-0.33924889099411,-0.0812637487298485
140,-0.296988955960653,0.508018621245038,NA,NA,-0.364604595162157,-0.0511916432925906
150,-0.241153440948886,0.561110541603517,NA,NA,-0.384756367377191,-0.0215997555741867
160,-0.188368681736087,0.60966294929503,NA,NA,-0.399622786963125,0.00722382686527275
170,-0.139028359751928,0.653123842392894,NA,NA,-0.409122433243873,0.0349910164656979
180,-0.0935261564260796,0.690941218970423,NA,NA,-0.413173885543348,0.0614137256669986
190,-0.052255753188215,0.722563077100934,NA,NA,-0.411695723185465,0.0862038669090848
200,-0.0156108314680057,0.747437414857741,NA,NA,-0.404606525494136,0.109073352631866
210,0.0160149273048765,0.76501223031416,NA,NA,-0.391824871793275,0.129734095275254
220,0.0422278417007594,0.774735521543505,NA,NA,-0.373269341406796,0.147898007279156
230,0.0626342302899714,0.776055286619092,NA,NA,-0.348858513658613,0.163277001083484
240,0.0778735982375235,0.768419523614237,NA,NA,-0.318510967872639,0.175927384659707
250,0.0931576418482098,0.752527450988492,NA,NA,-0.282145283372787,0.187846603154638
260,0.109196011899623,0.734718879744126,NA,NA,-0.239680039482971,0.201411617386926
270,0.125905339112711,0.716033201399306,NA,NA,-0.191835210998719,0.216701109837766
280,0.143202254208426,0.696559137964889,NA,NA,-0.144027337780713,0.231911351464201
290,0.161003387907715,0.67638541145173,NA,NA,-0.0972950593241408,0.246697913345101
300,0.179225370931529,0.655600743870685,NA,NA,-0.0516521446741731,0.26105799004268
310,0.197784834000817,0.634293857232608,NA,NA,-0.00711236287598194,0.274988776119148
320,0.216598407836529,0.612553473548357,NA,NA,0.0363105170252609,0.288487466136716
330,0.235582723159614,0.590468314828786,NA,NA,0.078602725984383,0.301551254657594
340,0.254654410691022,0.568127103084752,NA,NA,0.119750494956213,0.314177336243996
350,0.273730101151702,0.54561856032711,NA,NA,0.159740054895579,0.32636290545813
360,0.292726425262604,0.523031408566715,NA,NA,0.198557636757308,0.338105156862209
370,0.311560013744677,0.500454369814423,NA,NA,0.23618947149623,0.349401285018443
380,0.330147497318872,0.47797616608109,NA,NA,0.272621790067172,0.360248484489044
390,0.348185297698805,0.455685519377571,NA,NA,0.307840823424962,0.370570546833779
400,0.362160796828961,0.433671151714723,NA,NA,0.341832802524428,0.379221583689371
410,0.371123304568156,0.412420613665425,NA,NA,0.374583958320399,0.386042625517994
420,0.375390413441512,0.392790563698802,NA,NA,0.406080521767702,0.391420499636006
430,0.375279715974148,0.374778530763984,NA,NA,0.436237390995275,0.395431879244469
440,0.371108804691186,0.358355319043457,NA,NA,0.462793093435731,0.397419072390125
450,0.363195272117745,0.343491732719705,NA,NA,0.484787437350024,0.397158147395825
460,0.351856710778945,0.330158575975216,NA,NA,0.502376004403283,0.394797097052482
470,0.337410713199908,0.318326652992474,NA,NA,0.515714376260637,0.390483914151006
480,0.320174871905753,0.307966767953965,NA,NA,0.524958134587215,0.384366591482311
490,0.3004667794216,0.299049725042175,NA,NA,0.530262861048145,0.376593121837307
500,0.278604028272571,0.291546328439589,NA,NA,0.531784137308556,0.367311498006906
510,0.254904210983785,0.285427382328694,NA,NA,0.529677545033579,0.356669712782019
520,0.229684920080362,0.280663690891974,NA,NA,0.52409866588834,0.344815758953559
530,0.203263748087424,0.277226058311915,NA,NA,0.51520308153797,0.331897629312436
540,0.1759582185475,0.275085288771004,NA,NA,0.503146373647597,0.318063293655367
550,0.147985620757815,0.274212186451725,NA,NA,0.48808412388235,0.303427310363963
560,0.119282514791278,0.274566688882926,NA,NA,0.470171913907359,0.288007039193854
570,0.0897382510191532,0.273062683075464,NA,NA,0.449565325387751,0.27078875316079
580,0.0592421798127034,0.26745708307421,NA,NA,0.426419939988657,0.251039734291857
590,0.0276836515431927,0.257991463653576,NA,NA,0.400891339375204,0.228855484857324
600,-0.00504798341811527,0.244907399587974,NA,NA,0.374023126506097,0.204627514225319
610,-0.039063374699957,0.228446465651817,NA,NA,0.347023853614689,0.178802314855516
620,-0.0744731719310686,0.208850236619517,NA,NA,0.31993196915011,0.151436344612853
630,-0.111388024740187,0.186360287265487,NA,NA,0.292781895920722,0.122584719482008
