"Age","Lili","Pasdefond","Francis","Clo","BBmean"
-70,NA,NA,NA,2.59845582716816,2.59845582716816
-60,-1.97904712756684,NA,NA,2.51636396005749,0.268658416245325
-50,-1.90204755494538,NA,NA,2.43348785896899,0.265720152011806
-40,-1.82536023699255,0.546680618853841,NA,2.34985161903202,0.357057333631104
-30,-1.74953777461389,0.605731581426874,NA,2.26547933537593,0.373891047396304
-20,-1.67513276871495,0.667141593535593,NA,2.18039510313007,0.390801309316905
-10,-1.60269782020128,0.729557204684453,NA,2.09462301742381,0.407160800635661
0,-1.53278552997841,0.791624964377908,0.713004153405149,2.00818717338648,0.495007690297783
10,-1.4659484989519,0.85199142212041,0.7527283261038,1.92111166614746,0.514970728854943
20,-1.40273932802729,0.909303127416414,0.79116113405692,1.83342059083609,0.532786381070534
30,-1.34371061811013,0.962206629770374,0.826954231078544,1.74513804258173,0.547647071330131
40,-1.28941497010595,1.00934847868674,0.860022145008017,1.65628811651373,0.559060942525636
50,-1.24040498492031,1.04937522366998,0.890279403684686,1.56689490776145,0.566536137548951
60,-1.19723326345875,1.08093341422452,0.917640534947897,1.47698251145424,0.569580799291978
70,-1.16045240662681,1.10266959985484,0.942020066636997,1.38755451386823,0.567947943433314
80,-1.12930435636038,1.11323033006539,0.96333252659133,1.30203199911963,0.562322624853992
90,-1.10038921938114,1.11729094417208,0.981492442650244,1.22055400037588,0.554737041954266
100,-1.07362927352073,1.12264391440634,0.996414342653085,1.14294705881356,0.547094010588062
110,-1.04917453629001,1.12892021783403,1.0080127544392,1.06903771560926,0.539199037898118
120,-1.02717502519981,1.13568766365235,1.01620220584793,0.998652511939557,0.530841839060007
130,-1.00778075776097,1.14251406105852,1.02089722471863,0.931617988981029,0.521812129249303
140,-0.991141751484321,1.14896721924974,1.02201233889064,0.867760687910258,0.51189962364158
150,-0.977408023880711,1.15461494742323,1.01946207620331,0.806907149903823,0.500894037412411
160,-0.966729592460978,1.15902505477618,1.01316096449598,0.748883916138304,0.488585085737371
170,-0.95925647473596,1.16176535050581,1.003023531608,0.693517527790283,0.474762483792033
180,-0.955138688216497,1.16240364380933,0.988964305378714,0.640634526036339,0.45921594675197
190,-0.954526250413429,1.16050774388393,0.970897813647473,0.590061452053052,0.441735189792758
200,-0.957569178837593,1.15564545992684,0.94873858425362,0.541546784199399,0.422090412385567
210,-0.96420378059936,1.14736461432315,0.922401145036502,0.493666537681955,0.399807129110561
220,-0.972603817129555,1.13565294214534,0.891800023835464,0.446189475172694,0.375259656005986
230,-0.982301001513247,1.12091136676797,0.856849748489854,0.399436764486613,0.348724219557796
240,-0.993273452300786,1.10354679252509,0.820334431617841,0.353729573438711,0.321084336320215
250,-1.00549928804252,1.08396612375078,0.786332411365762,0.309389069843983,0.293547079229502
260,-1.0189566272888,1.0625762647791,0.754914398001401,0.266736421517427,0.266317614252282
270,-1.03362358858998,1.03978411994411,0.726120576868275,0.226092796274041,0.239593476124113
280,-1.04947829049639,1.01599659357987,0.699991133309904,0.187779361928821,0.213572199580551
290,-1.0664988515584,0.991620590020451,0.676566252669804,0.152117286296766,0.188451319357155
300,-1.08466339032635,0.967063013599912,0.655886120291494,0.119427737192871,0.164428370189481
310,-1.10395002535059,0.942730768652317,0.637990921518493,0.0900318824321349,0.141700886813087
320,-1.12433687518148,0.91903075951173,0.622920841694318,0.0642508898295542,0.120466403963531
330,-1.14580205836935,0.895306696438587,0.610716066162486,0.0424059272001264,0.100656657857963
340,-1.16828927626584,0.869014490061438,0.601416780266517,0.0241517424554425,0.0815734341293902
350,-1.18837626776068,0.84027623886189,0.595063169349928,0.00856261036922673,0.0638814377050922
360,-1.20391614909252,0.809375206606376,0.591695418756238,-0.00461270564671651,0.0481354426558441
370,-1.21506803566539,0.776594657061328,0.591353713828964,-0.0156212340557435,0.0343147752922907
380,-1.22199104288329,0.742217853993179,0.594078239911624,-0.0247100033212106,0.0223987619250761
390,-1.22484428615024,0.706528061168362,0.599909182347737,-0.032126041906474,0.0123667288648449
400,-1.22378688087027,0.669808542353309,0.60888672648082,-0.03811637827489,0.0041980024222416
410,-1.21897794244739,0.632342561314453,0.621051057654391,-0.0429280408898148,-0.00212809109208922
420,-1.2105765862856,0.594413381818226,0.63644236121197,-0.0468080582146049,-0.00663222536750332
430,-1.19874192778894,0.556304267631062,0.655100822497072,-0.0500034587126165,-0.00933507409335604
440,-1.18363308236142,0.518298482519392,0.677066626853217,-0.0527612708472057,-0.0102573109590031
450,-1.16540916540704,0.481890221451813,0.702379959623923,-0.055328523081729,-0.00911687685325923
460,-1.14422929232984,0.451529985336666,0.730001677795732,-0.0579522438795427,-0.00516246826924659
470,-1.12025257853383,0.427080765677108,0.757781119053278,-0.0606036043183541,0.00100142546955149
480,-1.09535484259524,0.407949069763613,0.785596156574646,-0.0621057646530391,0.00902115477249566
490,-1.07270238215551,0.393541404886656,0.813381524685796,-0.062246446436482,0.0179935252451143
500,-1.05184561683915,0.383264278336711,0.841071957712684,-0.0609706116770854,0.0278800018832898
510,-1.03223941777693,0.37652419740425,0.868602189981269,-0.0582232223832519,0.0386659368063335
520,-1.01333865609965,0.372727669379749,0.895906955817509,-0.0539492405633841,0.0503366821335563
530,-0.994598202938079,0.371281201553681,0.922920989547362,-0.0480936282258845,0.0628775899842696
540,-0.975472929423011,0.37159130121652,0.949579025496785,-0.0406013473791559,0.0762740124777845
550,-0.955417706685228,0.37306447565874,0.975815797991737,-0.0314173600316006,0.0905113017334121
560,-0.933887405855515,0.375107232170814,1.00156604135818,-0.0204866281916213,0.105574809870464
570,-0.910336898064657,0.376800865398275,1.02676448992206,-0.00775411386762065,0.121368585847014
580,-0.884221054443438,0.376391296733683,1.05134587800935,0.00683522093199879,0.137587835307897
590,-0.854994746122643,0.374426242535904,1.07524493994599,0.0233364141988345,0.154503212639522
600,-0.822112844233058,0.37175961806234,1.09839641005796,0.0417637368449701,0.172451730183053
610,-0.785689657295561,0.369245338570393,1.1207350226712,0.060841697463786,0.191283100352455
620,-0.749222299538056,0.367737319317461,1.14219551211168,0.0799141221555406,0.210156163511656
630,-0.713558225178963,0.368089475560948,1.16271261270535,0.0989423471636254,0.229046552562739
640,-0.678995949867548,0.371155722558252,1.18222105877817,0.117887708731432,0.248067135050076
650,-0.645833989253078,0.377789975566776,1.2006555846561,0.136711543102352,0.267330778518037
660,-0.61437085898482,0.38884614984392,1.21795092466509,0.155375186519777,0.286950350510992
670,-0.58490507471204,0.405178160647085,1.23404181313111,0.173839975227099,0.307038718573314
680,-0.557735152084004,0.427639923233672,1.24844840250828,0.192067245467708,0.327605104781414
690,-0.533159606749981,0.456408162887434,1.26008959766322,0.210018333484997,0.348339121821417
700,-0.511476954359235,0.486587239862645,1.26905941730049,0.227654575522358,0.367956069581565
710,-0.492985710561034,0.51661825826452,1.27551833660043,0.244937307823182,0.386022048031774
720,-0.477984391004645,0.545989756384379,1.27962683074335,0.261827866630859,0.402365015688486
730,-0.466771511339333,0.57419027251354,1.28154537490958,0.278287588188783,0.416812931068143
740,-0.459507364444627,0.600708344943325,1.28143444427944,0.294349459963657,0.429246221185449
750,-0.452563188219534,0.625032511965052,1.27945451403326,0.310158620563488,0.440520614585566
760,-0.444287951757975,0.64665131187004,1.27576605935135,0.325778389857618,0.450976952330258
770,-0.434772549349343,0.66505328294961,1.27052955541404,0.341270037169119,0.460520081545858
780,-0.424107875283036,0.67972696349508,1.26390547740166,0.356694831821066,0.469054849358693
790,-0.412384823848448,0.69016089179777,1.25605430049453,0.372114043136529,0.476486102895095
800,-0.399694289334975,0.695843606149,1.24713649987297,0.387588940438583,0.482718689281394
810,-0.386127166032014,0.696626357952892,1.2373125507173,0.4031807930503,0.487748133922119
820,-0.37177434822896,0.69657856804917,1.22674292820785,0.418950870294753,0.492624504580703
830,-0.356726730215208,0.696900611404171,1.21558810752494,0.434960441495014,0.497680607552229
840,-0.341075206280154,0.697501057289418,1.20400856384889,0.451270775974157,0.502926297708078
850,-0.324910670713194,0.698288474976435,1.19216477236003,0.467943143055254,0.508371429919632
860,-0.308324017803723,0.699171433736747,1.18021720823869,0.485038812061378,0.514025859058272
870,-0.291406141841138,0.700058502841876,1.16832634666517,0.502256555526364,0.519808815798069
880,-0.274894740227193,0.700858251563349,1.15665266281982,0.517317394673666,0.52498339220741
