depth	min.95	max.95	median	mean
118	1535	1811	1677	1677
118.5	1540	1813	1681	1681
119	1543	1816	1684	1684
119.5	1546	1819	1688	1688
120	1550	1821	1692	1692
120.5	1562	1822	1696	1697
121	1575	1824	1700	1702
121.5	1588	1825	1705	1707
122	1599	1827	1710	1711
122.5	1609	1829	1714	1716
123	1617	1831	1719	1721
123.5	1624	1834	1725	1726
124	1628	1836	1730	1731
124.5	1632	1839	1735	1735
125	1639	1841	1742	1740
125.5	1646	1844	1746	1745
126	1652	1845	1751	1750
126.5	1659	1849	1757	1755
127	1665	1852	1762	1760
127.5	1669	1856	1768	1765
128	1674	1860	1774	1770
128.5	1678	1866	1779	1775
129	1681	1872	1784	1780
129.5	1685	1879	1790	1785
130	1688	1886	1796	1790
130.5	1711	1890	1804	1801
131	1732	1895	1812	1811
131.5	1750	1900	1822	1821
132	1767	1905	1832	1832
132.5	1780	1910	1844	1842
133	1786	1918	1857	1852
133.5	1792	1929	1866	1863
134	1798	1941	1874	1873
134.5	1803	1958	1883	1883
135	1807	1979	1893	1894
135.5	1822	1994	1908	1908
136	1834	2008	1923	1923
136.5	1845	2026	1936	1938
137	1855	2048	1951	1953
137.5	1863	2073	1965	1967
138	1871	2097	1981	1982
138.5	1878	2126	1995	1997
139	1884	2156	2010	2012
139.5	1890	2185	2025	2027
140	1896	2217	2039	2041
140.5	1910	2219	2051	2054
141	1921	2226	2064	2067
141.5	1929	2239	2078	2080
142	1938	2265	2088	2093
142.5	1946	2287	2098	2106
143	1954	2317	2107	2119
143.5	1964	2359	2116	2132
144	1974	2404	2124	2145
144.5	1984	2451	2134	2159
145	1990	2497	2143	2172
145.5	1999	2509	2152	2181
146	2006	2521	2161	2191
146.5	2014	2532	2171	2200
147	2020	2544	2181	2209
147.5	2028	2553	2191	2219
148	2033	2565	2201	2228
148.5	2038	2580	2210	2238
149	2041	2591	2220	2247
149.5	2046	2602	2230	2257
150	2052	2612	2240	2266
150.5	2063	2625	2248	2275
151	2073	2636	2255	2284
151.5	2083	2646	2262	2293
152	2090	2660	2270	2301
152.5	2095	2673	2279	2310
153	2100	2687	2287	2319
153.5	2105	2701	2296	2328
154	2109	2717	2305	2337
154.5	2114	2733	2315	2345
155	2119	2751	2325	2354
155.5	2138	2754	2338	2368
156	2155	2757	2353	2381
156.5	2168	2762	2368	2395
157	2180	2765	2384	2408
157.5	2186	2769	2400	2422
158	2190	2774	2415	2436
158.5	2195	2782	2429	2449
159	2199	2793	2443	2463
159.5	2203	2801	2456	2476
160	2205	2810	2469	2490
160.5	2217	2820	2480	2500
161	2226	2828	2490	2510
161.5	2236	2842	2501	2520
162	2245	2857	2513	2530
162.5	2254	2869	2526	2540
163	2261	2885	2539	2550
163.5	2269	2899	2551	2559
164	2277	2914	2565	2569
164.5	2285	2932	2575	2579
165	2293	2947	2586	2589
