"Age","Mean","CI","Infe","Supe"
0,6.79861344344005,0.9,5.35524131151129,8.17508659887071
10,6.79899467017852,0.9,5.43023215335821,8.22446328124613
20,6.79932823427049,0.9,5.34905789543824,8.26391880185338
30,6.79961933319839,0.9,5.37460596569164,8.21036445678863
40,6.79986756462934,0.9,5.48434616072749,8.17695997647487
50,6.8000772556484,0.9,5.38977080677849,8.21019415087476
60,6.80024873916656,0.9,5.44464063479267,8.22800341384468
70,6.8003869722169,0.9,5.37215222836522,8.20725927936671
80,6.80049327777369,0.9,5.41654954069023,8.18722053776938
90,6.80057069014063,0.9,5.33689401440994,8.18966997040266
100,6.80062623456525,0.9,5.41580632727035,8.17693366953499
110,6.80066329696946,0.9,5.34355581427583,8.14129241983204
120,6.80068363866044,0.9,5.31898503402216,8.20154495814628
130,6.80069543865413,0.9,5.32323117158876,8.18108158803715
140,6.80070367535125,0.9,5.43140010954629,8.14662264093618
150,6.80071444668503,0.9,5.36684831425001,8.15919299800102
160,6.80073679111078,0.9,5.38841526311907,8.15778135234022
170,6.80077352407161,0.9,5.36672490683237,8.16266895053666
180,6.80083063237674,0.9,5.42294067447019,8.17835927618159
190,6.80091669657268,0.9,5.36443095709458,8.24763260792597
200,6.80103794099304,0.9,5.32936298090458,8.31700858945082
210,6.80120372216682,0.9,5.37725532930119,8.19677303472952
220,6.80142636241034,0.9,5.4152521673448,8.20077955214411
230,6.8017073060662,0.9,5.35343155577592,8.19236991281272
240,6.8020531883446,0.9,5.41870044302317,8.22720455935634
250,6.80247754442702,0.9,5.42512454744377,8.22101997069182
260,6.80298327605808,0.9,5.43654469103142,8.19139965365386
270,6.80358061841372,0.9,5.45497191635236,8.23243287973402
280,6.80428634750189,0.9,5.46465386593485,8.18761582499251
290,6.80510047445632,0.9,5.42484431365344,8.16490314244599
300,6.80602913541904,0.9,5.42068421855753,8.20257766916562
310,6.80708563598486,0.9,5.37295227929597,8.19047359459772
320,6.80827756579028,0.9,5.45441514666283,8.21157834507635
330,6.80960904855533,0.9,5.37017006488743,8.15839611309817
340,6.81109650559918,0.9,5.39691339248004,8.20545145701443
350,6.81274623787259,0.9,5.34438675482232,8.17317177741196
360,6.81455672452204,0.9,5.31889238833779,8.24812751935805
370,6.81654149534099,0.9,5.44194360439213,8.25328147835446
380,6.81871536705244,0.9,5.39782546434175,8.18895545613291
390,6.82107441279045,0.9,5.43064814559699,8.12964248693808
400,6.82362982655244,0.9,5.49751751978998,8.2221089992117
410,6.82639121932752,0.9,5.46610417373609,8.25840316693002
420,6.82935805272916,0.9,5.43878127856786,8.2691763702364
430,6.83253664714936,0.9,5.4023607663066,8.27092005367742
440,6.83594074877966,0.9,5.45459553658091,8.19515091629134
450,6.83957442971896,0.9,5.36828021534663,8.27918118771784
460,6.84343486347387,0.9,5.39194643211297,8.23444300351612
470,6.84752806904643,0.9,5.43017152570261,8.34175353874937
480,6.85186275430061,0.9,5.44581095450205,8.29037621669725
490,6.85643109875524,0.9,5.45765030043023,8.26521024222035
500,6.8612482551208,0.9,5.50314108058445,8.34033721716117
510,6.8663243843665,0.9,5.50315425982521,8.38967823382398
520,6.8716453806202,0.9,5.37280740883439,8.31454111568377
530,6.87721186173589,0.9,5.46122400696492,8.36542237335343
540,6.88303126000671,0.9,5.46098043017742,8.30189413111069
550,6.88909841973006,0.9,5.4306225704095,8.29903885738907
560,6.89541549647113,0.9,5.53384225446633,8.36282619889427
570,6.90199465433208,0.9,5.51841211934832,8.32986132493815
580,6.90882623541374,0.9,5.53388753993513,8.38350642048109
590,6.91589934633244,0.9,5.50549193933379,8.32990356017738
