lablD,age,error,depth,cc
Actual,-72.3,1,0,0
KB_19_5,135,15,19.5,1
A1_52,1290,15,63,1
B1_54_5,1915,15,133,1
C1_50,3440,15,207.5,1
D1_41_5,3980,15,284,1
E1_19_5,4815,20,339.5,1
E1_81,5990,20,401,1
F1_20_5,6330,20,403,1
F1_63,7075,20,445.5,1
F1_95,8075,20,477.5,1
G1_9_5,8015,20,479.5,1
G1_21,8360,20,491,1
G1_36_5,8705,20,506.5,1
