Age;Influx_Labelle
-65;0,203185805
-53;0,31110955
-41;0,152501549
-29;0,003761203
-17;0,013390818
-5;0,061042534
7;0,022484283
19;0,014905574
31;0,012050856
43;0,006634245
55;0,014240487
67;0,036441236
79;0,032530384
91;0,012241761
103;0,01251763
115;0,00686564
127;0,00310374
139;0,012892562
151;0,02049545
163;0,005150361
175;0,001234096
187;0,00433161
199;0,038100229
211;0,015333955
223;0,043539637
235;0,015447112
247;0,016623716
259;0,013670421
271;0,010792867
283;0,007179365
295;0,04787935
307;0,060758486
319;0,031411514
331;0,02807992
343;0,012443828
355;0,018915726
367;1,499477177
379;4,099162061
391;0,017109368
403;0,033470282
415;0,022824807
427;0,030547478
439;0,016410103
451;0,186437257
463;0,105594716
475;0,055837793
487;0,025402174
499;0,021686769
511;0,039870678
523;0,028499217
535;0,04512123
547;0,057863201
559;0,017680235
571;0,041711128
583;0,04558503
595;0,072900484
607;0,047302342
619;0,171625206
631;0,113271623
643;0,008727123
655;0,022422248
667;0,027004272
679;0,014576879
691;0,021565191
703;0,015403876
715;0,025233285
727;0,014149268
739;0,019394912
751;0,03188313
763;0,006919396
775;0,051892381
787;0,044839621
799;0,064915495
811;0,009475624
823;0,019528012
835;0,016841948
847;0,005985937
859;0,011550261
871;0,015940154
883;0,007454086
895;0,009705791
907;0,050302246
919;0,048411073
931;0,019028162
943;0,028185812
955;0,085973954
967;0,095148294
979;0,031401257
991;0,017512952
1003;0,023794642
1015;0,060136421
1027;0,062881222
1039;0,03869156
1051;0,027400674
1063;0,037697398
1075;0,037364631
1087;0,02819031
1099;0,058669747
1111;0,021575414
1123;0,026217235
1135;0,015435125
1147;0,031987967
1159;0,059564645
1171;0,106789505
1183;0,053437752
1195;0,043684066
1207;0,101199867
1219;0,054236895
1231;0,083112397
1243;0,059496148
1255;0,030025519
1267;0,030267241
1279;0,028312428
1291;0,036414678
1303;0,063679645
1315;0,141620356
1327;0,06886269
1339;0,078776749
1351;0,034103039
1363;0,028887428
1375;0,04296062
1387;0,043816371
1399;0,053524941
1411;0,076170597
1423;0,053790081
1435;0,044360529
1447;0,042522248
1459;0,077920998
1471;0,065296152
1483;0,05951867
1495;0,05199355
1507;0,067587946
1519;0,071353358
1531;0,021173362
1543;0,054792074
1555;0,027519522
1567;0,018493119
1579;0,056496873
1591;0,057731724
1603;0,030363206
1615;0,053458436
1627;0,042619978
1639;0,079244934
1651;0,052727404
1663;0,04962546
1675;0,073720095
1687;0,05149961
1699;0,040113584
1711;0,026343945
1723;0,060026428
1735;0,052874316
1747;0,041439414
1759;0,083399205
1771;0,0489426
1783;0,028685503
1795;0,092634733
1807;0,159614604
1819;0,059142417
1831;0,056759649
1843;0,067136097
1855;0,071311667
1867;0,025609056
1879;0,030772753
1891;0,10765129
1903;0,067195052
1915;0,783980273
1927;1,43292204
1939;0,110512897
1951;0,173593992
1963;0,119873768
1975;0,076935693
1987;0,136215284
1999;0,073970743
2011;0,022470094
2023;0,027569481
2035;0,00482142
2047;0,030345989
2059;0,043988243
2071;0,031156641
2083;0,094292044
2095;0,048055965
2107;0,033765183
2119;0,094949818
2131;0,169552972
2143;0,072476895
2155;0,014883173
2167;0,032683031
2179;0,034344152
2191;0,059990345
2203;0,041586424
2215;0,032519463
2227;0,032847821
2239;0,022312444
2251;0,032392864
2263;0,032545395
2275;0,117079584
2287;0,078605599
2299;0,073658406
2311;0,084969507
2323;0,064545673
2335;0,105718226
2347;0,093060247
2359;0,025301025
2371;0,025112815
2383;0,02045605
2395;0,021571456
2407;0,175274723
2419;0,408310875
2431;0,070974288
2443;0,036253106
2455;0,040843974
2467;0,031397658
2479;0,111048777
2491;0,075877673
2503;0,062409657
2515;0,012582387
2527;0,023596932
2539;0,034647688
2551;0,028228102
2563;0,027116159
2575;0,014273972
2587;0,028515902
2599;0,069839062
2611;0,07212732
2623;0,024274913
2635;0,046798583
2647;0,059746999
2659;0,036435623
2671;0,025963001
2683;0,023401368
2695;0,054989738
2707;0,04702857
2719;0,05451752
2731;0,034003994
2743;0,021627137
2755;0,024740002
2767;0,020665044
2779;0,004013905
2791;0,016582918
2803;0,036353481
2815;0,015984087
2827;0,022697945
2839;0,030872862
2851;0,025701117
2863;0,045326674
2875;0,102023208
2887;0,139836218
2899;0,066385555
2911;0,002611444
2923;0,004514741
2935;0,036516289
2947;0,017320364
2959;0,004238904
2971;0,027555004
2983;0,025932916
2995;0,074661522
3007;0,040437821
3019;0,099518001
3031;0,050229599
3043;0,067290395
3055;0,131312575
3067;0,027625366
3079;0,03299379
3091;0,024670193
3103;0,015944388
3115;0,015669193
3127;0,031304515
3139;0,013406241
3151;0,021515707
3163;0,069927716
3175;0,081577389
3187;0,035731983
3199;0,028901849
3211;0,024323085
3223;0,020683825
3235;0,023438165
3247;0,028760017
3259;0,041291225
3271;0,064070326
3283;0,0460558
3295;0,048784052
3307;0,062041053
3319;0,043596161
3331;0,023656137
3343;0,022147842
3355;0,036545274
3367;0,020274234
3379;0,038167596
3391;0,123727636
3403;0,036148928
3415;0,04920686
3427;0,013963633
3439;0,020571487
3451;0,044476053
3463;0,041441469
3475;0,061033741
3487;0,041429745
3499;0,026876966
3511;0,021215109
3523;0,016105271
3535;0,019910735
3547;0,025312982
3559;0,012105333
3571;0,022874096
3583;0,031116275
3595;0,017669394
3607;0,019301903
3619;0,031454604
3631;0,042192382
3643;0,047147059
3655;0,041227954
3667;0,029836443
3679;0,045594102
3691;0,041914349
3703;0,072363985
3715;0,06964314
3727;0,055766951
3739;0,031253407
3751;0,014816995
3763;0,036764872
3775;0,088139888
3787;0,02717447
3799;0,011041981
3811;0,012655956
3823;0,020957175
3835;0,030782551
3847;0,039157145
3859;0,021866589
3871;0,006507974
3883;0,006042198
3895;0,019264089
3907;0,02546841
3919;0,010889515
3931;0,019590513
3943;0,028202006
3955;0,022990267
3967;0,015250402
3979;0,013194129
3991;0,018706501
4003;0,013891008
4015;0,004484412
4027;0,006973024
4039;0,021786994
4051;0,047045681
4063;0,06595371
4075;0,041260655
4087;0,040102863
4099;0,056880369
4111;0,069064686
4123;0,020767837
4135;0,020381011
4147;0,026728614
4159;0,018575677
4171;0,016319579
4183;0,009757152
4195;0,006769802
4207;0,006763452
4219;0,033206325
4231;0,024596856
4243;0,028402528
4255;0,036704427
4267;0,027596788
4279;0,024624155
4291;0,034480218
4303;0,057365502
4315;0,041904823
4327;0,02654893
4339;0,01724951
4351;0,01415674
4363;0,039237161
4375;0,032061987
4387;0,025691404
4399;0,026253624
4411;0,019433125
4423;0,018257024
4435;0,018424382
4447;0,024072733
4459;0,022237019
4471;0,021209707
4483;0,022629266
4495;0,027867439
4507;0,024156412
4519;0,013242245
4531;0,031659903
4543;0,036753505
4555;0,039924476
4567;0,031720421
4579;0,018501784
4591;0,012943688
4603;0,052314487
4615;0,025161117
4627;0,012599707
4639;0,01403919
4651;0,026588092
4663;0,031988975
4675;0,027621133
4687;0,052035888
4699;0,061046768
4711;0,045064276
4723;0,023731707
4735;0,016868761
4747;0,035885457
4759;0,030110789
4771;0,029577287
4783;0,055394681
4795;0,047608733
4807;0,042283356
4819;0,025030064
4831;0,035860388
4843;0,046069685
4855;0,021538761
4867;0,019073369
4879;0,018602751
4891;0,013506849
4903;0,01608789
4915;0,037486269
4927;0,056185282
4939;0,069541721
4951;0,0103001
4963;0,015816219
4975;0,0231291
4987;0,019912951
4999;0,016423172
5011;0,005235483
5023;0,022469901
5035;0,03970432
5047;0,023401064
5059;0,017235446
5071;0,00944216
5083;0,010878044
5095;0,011903675
5107;0,014194993
5119;0,015453058
5131;0,01860235
5143;0,008650744
5155;0,001872537
5167;0,029514183
5179;0,036210096
5191;0,040440996
5203;0,026449877
5215;0,005845146
5227;0,012321798
5239;0,014370634
5251;0,001574963
5263;0,006185701
5275;0,020698068
5287;0,02219767
5299;0,023196235
5311;0,038308604
5323;0,041179982
5335;0,01186666
5347;0,0143162
5359;0,021664819
5371;0,019030203
5383;0,016395587
5395;0,024207145
5407;0,026679696
5419;0,052914268
5431;0,053741544
5443;0,035679816
5455;0,032911442
5467;0,027580334
5479;0,027254719
5491;0,026929103
5503;0,012089345
5515;0,004669466
5527;0,018311836
5539;0,02104031
5551;0,009728105
5563;0,01081595
5575;0,023305764
5587;0,021275881
5599;0,015420504
5611;0,020766805
5623;0,031917257
5635;0,021335202
5647;0,011192622
5659;0,041962945
5671;0,063941748
5683;0,044944994
5695;0,035446617
5707;0,030406955
5719;0,028727068
5731;0,048949775
5743;0,052994316
5755;0,026898078
5767;0,024525693
5779;0,003111823
5791;0,003111823
5803;0,015307849
5815;0,01773386
5827;0,043279741
5839;0,042390119
5851;0,032604283
5863;0,035583801
5875;0,068358493
5887;0,065803879
5899;0,036367739
5911;0,033935477
5923;0,022563637
5935;0,024696035
5947;0,049090594
5959;0,049972277
5971;0,059670791
5983;0,056277079
5995;0,020356656
6007;0,020356656
6019;0,021903423
6031;0,021903423
6043;0,029019971
6055;0,029019971
6067;0,010180868
6079;0,008468223
6091;0,007497842
6103;0,007303766
6115;0,009114466
6127;0,009718032
6139;0,021382923
6151;0,027215368
6163;0,020540063
6175;0,015771989
6187;0,022790444
6199;0,029521771
6211;0,029586697
6223;0,029690601
6235;0,032046744
6247;0,038807411
6259;0,03883086
6271;0,039088794
6283;0,039088794
6295;0,021199965
6307;0,019573708
6319;0,013673457
6331;0,011706707
6343;0,048826309
6355;0,07534031
6367;0,073808824
6379;0,071664744
6391;0,061338572
6403;0,030360058
6415;0,030579011
6427;0,032859721
6439;0,032859721
6451;0,019151706
6463;0,016410103
6475;0,021326454
6487;0,024838133
6499;0,026033239
6511;0,028490033
6523;0,024637016
6535;0,006057117
6547;0,006057117
6559;0,008666738
6571;0,008894551
6583;0,017543649
6595;0,023940573
6607;0,033326376
6619;0,052097983
6631;0,050041057
6643;0,028164265
6655;0,028164265
6667;0,0302872
6679;0,030994845
6691;0,031929299
6703;0,033237534
6715;0,033689119
6727;0,038798292
6739;0,038798292
6751;0,006094751
6763;0
6775;0,001297922
6787;0,003178958
6799;0,005274222
6811;0,028322124
6823;0,028322124
6835;0,016012659
6847;0,012046105
6859;0,012107964
6871;0,012225926
6883;0,012225926
6895;0,00889793
6907;0,00889793
6919;0,016485873
6931;0,021905832
6943;0,020948415
6955;0,016161332
6967;0,016161332
6979;0,028956377
6991;0,033221392
7003;0,031713001
7015;0,028696219
7027;0,028696219
7039;0,021626264
7051;0,021002899
7063;0,022204384
7075;0,023929283
7087;0,023929283
7099;0,005654627
7111;0,005654627
7123;0,010549715
7135;0,015444803
7147;0,015444803
7159;0,011395622
7171;0,011395622
7183;0,008558148
7195;0,005720674
7207;0,005720674
7219;0,013097599
7231;0,013097599
7243;0,007237948
7255;0,001563491
7267;0,001563491
7279;0,004082208
7291;0,004318448
7303;0,022665769
7315;0,047509484
7327;0,047509484
7339;0,042650206
7351;0,04167835
7363;0,031981509
7375;0,002890984
7387;0,002890984
7399;0,0158283
7411;0,022296959
7423;0,022798046
7435;0,028310008
7447;0,028310008
7459;0,025315775
7471;0,022321542
7483;0,022321542
7495;0,009200973
7507;0,008044697
7519;0,007948727
7531;0,007645374
7543;0,007645374
7555;0,008843702
7567;0,009421203
7579;0,009421203
7591;0,033393352
7603;0,033393352
7615;0,086608699
7627;0,193039392
7639;0,193039392
7651;0,097322261
7663;0,049463695
7675;0,049463695
7687;0,011057075
7699;0,011057075
7711;0,011094583
7723;0,011202562
7735;0,011202562
7747;0,016468596
7759;0,02010965
7771;0,02010965
7783;0,023346562
7795;0,023993944
7807;0,023422
7819;0,017130614
7831;0,017130614
7843;0,018874928
7855;0,022363557
7867;0,022363557
7879;0,027151184
7891;0,030570917
7903;0,030570917
7915;0,011732214
7927;0,008073555
7939;0,008073555
7951;0,016377772
7963;0,016377772
7975;0,019466638
7987;0,028447964
7999;0,028447964
8011;0,018236478
8023;0,003940397
8035;0,003940397
8047;0,017799776
8059;0,027699333
8071;0,027699333
8083;0,016611082
8095;0,012914999
8107;0,012914999
8119;0,022452568
8131;0,02331962
8143;0,02314633
8155;0,021277248
8167;0,021277248
8179;0,019853565
8191;0,012511545
8203;0,012511545
8215;0,017226203
8227;0,026376645
8239;0,026376645
8251;0,027318357
8263;0,028636754
8275;0,028636754
8287;0,027635165
8299;0,026633575
8311;0,026633575
8323;0,029150976
8335;0,03094912
8347;0,03094912
8359;0,022030107
8371;0,017688702
8383;0,017688702
8395;0,020838629
8407;0,022453027
8419;0,022453027
8431;0,016068936
8443;0,013996852
8455;0,013996852
8467;0,021601766
8479;0,024136738
8491;0,024136738
8503;0,024768628
8515;0,024979259
8527;0,024979259
8539;0,017142545
8551;0,014530308
8563;0,014530308
8575;0,003632577
8587;0
8599;0
8611;0,011958291
8623;0,015944388
8635;0,015944388
8647;0,013048423
8659;0,012106759
8671;0,012106759
8683;0,01535555
8695;0,016979946
8707;0,016979946
8719;0,056494089
8731;0,084718477
8743;0,084718477
8755;0,051324996
8767;0,017931515
8779;0,017931515
8791;0,032146692
8803;0,052047941
8815;0,052047941
8827;0,039823094
8839;0,015373401
8851;0,015373401
8863;0,017129116
8875;0,022248698
8887;0,022248698
8899;0,022326911
8911;0,023187259
8923;0,023187259
8935;0,023187259
8947;0,014594817
8959;0,013813686
8971;0,013813686
8983;0,019760911
8995;0,021743319
9007;0,021743319
9019;0,021415759
9031;0,021181787
9043;0,021181787
9055;0,028306224
9067;0,038280435
9079;0,038280435
9091;0,049416868
9103;0,081944995
9115;0,081944995
9127;0,081944995
9139;0,058156404
9151;0,058156404
9163;0,058156404
9175;0,019500733
9187;0,006273114
9199;0,006273114
9211;0,017138232
9223;0,02469527
9235;0,02469527
9247;0,023773795
9259;0,021966929
9271;0,021966929
9283;0,021966929
9295;0,020415903
9307;0,020415903
9319;0,020415903
9331;0,025029412
9343;0,026567249
9355;0,026567249
9367;0,033264776
9379;0,039784338
9391;0,039784338
9403;0,036589957
9415;0,020618049
9427;0,020618049
9439;0,020618049
9451;0,019916302
9463;0,019775952
9475;0,019775952
9487;0,030426007
9499;0,041076062
9511;0,041076062
9523;0,036010495
9535;0,011282488
9547;0,011282488
9559;0,011282488
9571;0,051628476
9583;0,065405436
9595;0,065405436
9607;0,040977643
9619;0,007598486
9631;0,007598486
9643;0,007598486
9655;0,001204457
9667;0,001204457
9679;0,001204457
9691;0,009204118
9703;0,014918163
9715;0,014918163
9727;0,013376037
9739;0,005665407
9751;0,005665407
9763;0,005665407
9775;0,001890328
9787;0,000631968
9799;0,000631968
9811;0,001979203
9823;0,004608764
9835;0,004608764
9847;0,004608764
9859;0,004255028
9871;0,004182141
9883;0,004182141
9895;0,00343214
9907;0,002405993
9919;0,002405993
9931;0,002405993
9943;0,007236122
9955;0,007675225
9967;0,007675225
9979;0,005651225
9991;0,002881722
10003;0,002881722
10015;0,002881722
10027;0,00214965
10039;0,00199955
10051;0,00199955
10063;0,003087428
10075;0,00324809
10087;0,002308011
10099;0,002308011
10111;0,001601818
10123;0,001097394
10135;0,001097394
10147;0,000365798
10159;0
10171;0
10183;0
10195;0
10207;0
10219;0
10231;0
10243;0
10255;0
10267;0
10279;0
10291;0,004354738
10303;0,004354738
10315;0,004305021
10327;0,003758139
10339;0,003758139
10351;0,003101541
10363;0
10375;0
10387;0
10399;0
