"Age","Mean","CI","Infe","Supe"
0,4.3370227702488,0.9,3.79403622463095,4.84356159751115
10,4.34728352398915,0.9,3.85518117254026,4.83911809397005
20,4.35726958371851,0.9,3.84276114285493,4.86743983385839
30,4.36689217126091,0.9,3.8819675303174,4.87762893246239
40,4.37625010113547,0.9,3.87804841511035,4.87978963642743
50,4.38535790986768,0.9,3.88256284568941,4.87138131724837
60,4.39420161667533,0.9,3.90640825264018,4.88595377879946
70,4.40271933654114,0.9,3.91785807664546,4.89356513759419
80,4.41098361059318,0.9,3.9183476698712,4.8788954245628
90,4.4190208548247,0.9,3.95345246593701,4.91466546236137
100,4.42682671257598,0.9,3.93037021819447,4.90640148049279
110,4.43433439229592,0.9,3.90760582809234,4.90798395781992
120,4.44162291052674,0.9,3.98631132047314,4.95770383506151
130,4.4486971105271,0.9,3.96842992653939,4.95285296630314
140,4.4555622523035,0.9,3.9674096980198,4.95278130215404
150,4.46219255090586,0.9,3.96552561123676,4.93724224361925
160,4.46860878284915,0.9,3.99470281653137,4.94526194823454
170,4.47485787351151,0.9,3.98813954644516,4.96485992559652
180,4.48091564605733,0.9,3.97902959488461,4.96273940920145
190,4.48678173842265,0.9,3.96651012797205,4.96804827225186
200,4.49247169870208,0.9,4.00864449220184,4.99675511291434
210,4.49800111877443,0.9,4.00006717972017,4.99734279002155
220,4.50340708526179,0.9,4.0105105215606,5.0161119127077
230,4.50864369868692,0.9,3.99428670057739,5.01470138427622
240,4.51373409622492,0.9,4.0098051489056,4.99622118741225
250,4.51870673339059,0.9,4.0239625546933,5.02707733233251
260,4.52356662393396,0.9,4.01211523240786,5.04937941545047
270,4.52833408348026,0.9,3.99605978578804,5.02538787800147
280,4.53295405482537,0.9,3.9948600952135,5.05613506555869
290,4.53750774678368,0.9,3.99210681761349,5.07541605512412
300,4.54198141954091,0.9,4.02372291957407,5.12692077271803
310,4.54638175019498,0.9,3.9990771381698,5.12423046465033
320,4.55069626690357,0.9,3.95785697559862,5.08974582639636
330,4.5549459412716,0.9,4.00924870699798,5.11999135032818
340,4.5591703006938,0.9,3.9859875234943,5.13617768479836
350,4.56334056241738,0.9,3.96113308090173,5.13609543739645
360,4.56746118503535,0.9,3.97376745605853,5.16235962199131
370,4.5715601920477,0.9,3.96236084571416,5.20257294472746
380,4.57563279865167,0.9,3.93196770476608,5.20683388812575
390,4.57970227870289,0.9,3.93433302292179,5.19148448871613
400,4.58374408058277,0.9,3.94916804772533,5.27063734823875
410,4.58779348784552,0.9,3.92044586251552,5.24376201979836
420,4.59184183040657,0.9,3.92429129593096,5.27760939057179
430,4.59590240031924,0.9,3.9345970062117,5.28086023017952
440,4.59998012731157,0.9,3.88438997029208,5.31739305631211
450,4.60406244261292,0.9,3.90979489713166,5.3443722009606
460,4.60818179870427,0.9,3.88268779645528,5.36790888190783
470,4.61232559722472,0.9,3.867427400901,5.39998520479034
480,4.6165050276837,0.9,3.81915864505509,5.36664894993924
490,4.62071593037975,0.9,3.817986852928,5.41133736734072
500,4.62497263312149,0.9,3.86754990337191,5.44011024920443
510,4.62927657627609,0.9,3.78494423042958,5.4888093579108
520,4.63360663797701,0.9,3.82026672401751,5.44234450191358
530,4.63800712731594,0.9,3.81076028703405,5.55209732555706
540,4.64245812663352,0.9,3.77419044366078,5.54979056780368
550,4.64695747985771,0.9,3.73911895550331,5.52671930494741
560,4.65149452929681,0.9,3.71163603414297,5.57361823587555
570,4.65611469863795,0.9,3.77852518197346,5.55269661911573
580,4.66079951553627,0.9,3.67893206869774,5.60734550443796
590,4.66550660494713,0.9,3.69618657996563,5.60123521687199
600,4.67027821597226,0.9,3.6816443252404,5.62336882748503
610,4.67514282165619,0.9,3.69090111047361,5.60853005055339
620,4.68006495818005,0.9,3.67238190970102,5.65874337005337
630,4.68499738108653,0.9,3.68698903039942,5.66504728672575
640,4.689995489872,0.9,3.65144581989389,5.70065925106293
650,4.69510669999942,0.9,3.6603153067719,5.73788613210745
660,4.70023949968947,0.9,3.66051184563298,5.74469663042338
670,4.70540261351517,0.9,3.65572021501725,5.76164832084186
680,4.71062905032082,0.9,3.63510591184896,5.81295341060388
690,4.71595410157171,0.9,3.58001991768391,5.76823360713373
700,4.72127954790403,0.9,3.6068087388581,5.85516119091378
710,4.72664503111202,0.9,3.56239963465104,5.84798367891992
720,4.73207259744508,0.9,3.56461204291481,5.83693323070563
730,4.73756516828493,0.9,3.52372370539618,5.84108011133918
740,4.74305362981326,0.9,3.59821079410439,5.93965331631275
750,4.74859839683298,0.9,3.57712328874887,5.95995740641831
760,4.75417845995344,0.9,3.52265319854387,5.93599131057903
770,4.75978111130937,0.9,3.51466978424102,5.9891134929243
