depth	min.95	max.95	median	mean
0	-74.2	-74.2	-74.2	-74.2
0.5	-72.3	-71.3	-71.8	-71.8
1	-70.5	-68.4	-69.4	-69.4
1.5	-68.3	-66	-67.1	-67.2
2	-66.3	-63.4	-64.9	-64.9
2.5	-64.6	-61.4	-63	-63
3	-62.8	-59.3	-61.1	-61.1
3.5	-60.5	-56.5	-58.6	-58.6
4	-58.2	-53.6	-56.1	-56
4.5	-56.2	-51.3	-53.9	-53.9
5	-54.3	-48.9	-51.8	-51.7
5.5	-51.4	-45.5	-48.7	-48.6
6	-48.7	-41.9	-45.5	-45.5
6.5	-45	-37.3	-41.4	-41.3
7	-41.4	-32.4	-37.3	-37.2
7.5	-37.8	-27.6	-33.1	-33
8	-34.4	-22.5	-28.9	-28.9
8.5	-30.6	-17.1	-24.4	-24.4
9	-26.8	-11.5	-19.9	-19.8
9.5	-22.4	-4.4	-14.5	-14.3
10	-18.3	3.1	-9.1	-8.7
10.5	-13.9	11.2	-3.2	-2.7
11	-9.6	19.9	2.7	3.2
11.5	-5	26.8	8.5	9
12	-0.7	34.4	14.3	14.8
12.5	3.5	43.4	20.4	21.1
13	7.6	52.9	26.4	27.3
13.5	12	60.3	32.2	33
14	15.7	68.2	37.8	38.8
14.5	19.1	76.2	43.2	44.2
15	22	84.2	48.5	49.7
15.5	25.6	91.8	53.8	55
16	29	99.7	59.2	60.3
16.5	32.4	107	64.5	65.6
17	35.7	115.3	69.5	70.8
17.5	39.3	122.2	74.7	76
18	42.7	129.3	79.9	81.2
18.5	45.5	135.3	85.1	86.2
19	48.5	143	90.1	91.3
19.5	51.7	150.1	95.2	96.4
20	54.6	158.3	100.3	101.5
20.5	57.2	166.1	105.1	106.6
21	60.2	175.5	109.8	111.7
