X;A-High;B-Low;MinL_IC;Max_L_IC;MinH_IC;MaxH_IC;Gagnon;Yelle;Perche;Labelle;Clo;Francis;Lili;Pasdefond
0;5,068718487;4,946180899;4,507528894;5,231013802;2,370304114;7,606326407;7,606326407;2,370304114;;5,22952494;;5,231013802;4,507528894;5,1
500;8,938587922;5,359108787;3,240740741;6,871567311;6,551724138;11,64629987;11,64629987;6,551724138;;8,617739757;3,240740741;6,871567311;5,96501831;
1000;8,854168169;7,494627266;4,045194236;10,1;4,144780447;11,51004446;10,9076796;4,144780447;;11,51004446;4,045194236;9,760282733;6,073032096;10,1
1500;15,3874972;7,210056083;6,472488703;8,049535604;4,945054945;22,29012326;18,9273134;4,945054945;;22,29012326;8,049535604;7,108143943;6,472488703;
2000;17,01499559;7,851944064;5,152671756;10,86291333;8,433020699;22,45833081;20,15363526;8,433020699;;22,45833081;5,152671756;10,86291333;7,09219117;8,3
2500;19,9037516;9,567147076;6,701940035;14,81921361;12,19903692;25,34230007;22,16991782;12,19903692;;25,34230007;6,701940035;14,81921361;7,180287584;
3000;22,376121;9,872831788;7;12,91910615;15,7330807;27,55014595;23,84513635;15,7330807;;27,55014595;7,126436782;12,91910615;12,44578422;7
3500;19,69427994;10,91432391;4,130434783;17,00333164;10,02331002;27,31242216;21,74710765;10,02331002;;27,31242216;4,130434783;17,00333164;11,60920531;
4000;21,36794568;12,97608959;10,5;19,82351871;13,40996169;33,65332387;17,04055147;13,40996169;;33,65332387;10,53370787;19,82351871;11,04713177;10,5
4500;22,86048037;12,75167657;6,060606061;20,86037088;17,13412307;31,63779423;17,13412307;19,80952381;;31,63779423;6,060606061;20,86037088;11,33405277;
5000;29,12188264;15,75667233;12,29902846;18,2409352;22,4691358;32,75747637;32,13903576;22,4691358;;32,75747637;15,48672566;18,2409352;12,29902846;17
5500;28,05379916;15,11015116;4,088050314;24,40506628;15,99326599;34,83400741;34,83400741;15,99326599;;33,33412409;4,088050314;24,40506628;18,94748806;13
6000;39,56453605;22,10951449;12,62939959;31,37721886;32,92079208;49,00540795;36,76740812;32,92079208;;49,00540795;12,62939959;31,37721886;23,43143951;21
6500;31,12282512;17,43291389;12,94416244;20,28748725;28,61976694;35,5153724;28,61976694;35,5153724;;29,23333601;12,94416244;20,28748725;19,70000587;16,8
7000;20,62034285;13,54176736;8,354204683;16,90975014;6,040268456;42,6396885;24,06544084;9,735973597;6,040268456;42,6396885;16,90975014;8,354204683;13,3031146;15,6
7500;16,01861546;10,48892636;7,363991336;13,61386139;4,243814418;35,36568381;9,776536313;14,6884273;4,243814418;35,36568381;13,61386139;;7,363991336;
8000;4,174725225;4,173963627;2,91533168;5,432595573;2,924409959;7,367965368;3,055555556;3,350970018;2,924409959;7,367965368;5,432595573;;2,91533168;
8500;3,41261739;4,22781457;1,655629139;6,8;0,410764815;6,895632174;2,446473138;0,410764815;6,895632174;3,897599433;;;1,655629139;6,8
9000;3,922601179;;;;3,131062345;5,46865889;3,300330033;3,131062345;5,46865889;3,790353447;;;;
9500;2,732803565;;;;0,736166541;4,864841557;2,597402597;;4,864841557;0,736166541;;;;
